AAA0139	Ridgefield Park Residential District on Ridge 1/2 Mile North
BBB0572	Read Mullan Motor Co. Body Shop
AAA6717	It takes a stubborn man to make it great.
AAA8291a	Kim
BBB3664	Untitled
BBB2366	Exposition for Living...1969.  Sun City
AAA4090	Filters. LUCKY STRIKES AGAIN
AAA2453	Only 9 minutes to LITCHFIELD PARK.
AAA2311	Norelco. The shaver that beat the blades. [Large paragraph of small print] Available at Walgreen Drug Stores.
AAA2133	Free and Easy Checking
AAA6644	For Results...
BBB5219	Outperforms them all!   3-Minute Pop Corn  It always pops-it all pops!
BBB0373	Herb Stevens Loves Ford
AAA7227	''Let's go Desmond-dressed this Fall''
BBB0157	7-Up ''Float''
AAA1658	Authentic DEWAR'S ''White Label'' the Scotch that never varies!
AAA1236	5% Car Loans
BBB0078	Pepsi...it's got a lot to give
AAA0762	LINCO is Chicago's fastest-selling bleach
AAA7429	Green Bay Poster Pledges Good Taste--High Standards in Outdoor Advertising
AAA0925	Welcome To The New Phoenix Home Of
BBB2624	Ketchup, Rye bread (2 advertisements)
AAA4924	Famous for Fine Food and Atmosphere
AAA4834	Why do you think they call it dope?
AAA3776	Esso Extra Gasoline, National Bohemian Beer, Armstrong Tires (3 advertisements)
AAA7887	Try a Texaco Dealer Next Time
AAA5772	It's Love Your Neighbor's Dog Week--(When's It Gonna Be Love Billboards Week?)
AAA5169	Untitled
AAA3985	Untitled
AAA3305	America's No. 1 Selling Scotch
BBB6582	Untitled
BBB3510	Hash Browns with Breakfast
BBB2492	Get Sea nad Ski, Get a show off tan and skip the burn
AAA8785	Ringling Bros and Barnum & Bailey Circus
BBB0980	18 Hole Golf Course - Restaurant - Cocktail Lounge
BBB0102	Extra holiday savings!
AAA6998	Untitled
BBB4828	Untitled
AAA0603	Buick More and Better Miles
BBB3481	Prestigious ONE ACRE WIEW HOMES in Escondido
AAA2180	The one for the road.
BBB6167	We Love Ollie North!  A Proven American Hero!
AAA3076	The Card for _all_ Santas.
BBB3779	Untitled
BBB5778	Untitled
AAA3830	Hauewalo's Roman Meal Bread, Kool-Aid (2 advertisements)
BBB4916	Live it up
BBB4280	None for the Road
AAA5399	Uncle Joe, the ''Big'' Clothier says: ''Still Giving the Best Values in Anderson.''
BBB5392	In The Heart of Tuscloosa Johnny's Restaurant Open Day and Night Where Hi-Way11 43-82 Meet   Established 1934
BBB2417	The Meadows
AAA7019	Untitled
AAA0673	I _told_ you to take the New Haven R.R. The fare's only 2 [cents] a mile!
BBB2064	Beautiful!  Continental Homes
BBB2379	Tourists love Sun City
AAA8619	Morton Salt
AAA0997	One success leads to another.
AAA4954	Mennen presents Capt. Flagg and Sgt. Quirt
BBB6192	the birthplace   Crittenton Hospital  for information call 652-5269
AAA3763	Home of Acid Action
BBB3154	Things go better with Coke after Coke after Coke
AAA4850	Untitled
AAA4682	Untitled
AAA6297	Virginia Slims Lights
AAA3257	Smooth as Silk
BBB6619	Corticelli Spool Silk Too Strong to Break
AAA0568	Fastest tan under the sun ...
BBB5636	Untitled
AAA2911	the card!
BBB0659	We're Going to Las Vegas...For $10 You Can Go Along
AAA3993	Untitled
AAA8041	Howdy Bub! Make Mine ''flavor-blended''
AAA8269	Untitled
AAA0227	Untitled
AAA2200	GROW with Arizona's largest
BBB3717	Untitled
BBB5174b	Untitled
AAA7737	FIRST by every measure of value!
AAA5063	Untitled
BBB4661	Renew Your Seed in '59  Plant Deltapine  The World's Most Popular Cottons
BBB2794	Untitled
BBB0382	the get-away car by Plymouth
BBB0930	Muscle to Move 'Anything'
AAA3796	Untitled
BBB0368	TORINO! Ford's newest bright idea
AAA4032	Coca-Cola, Hotel Raleigh (2 advertisements)
BBB1395	Royal Inn In Mesa
BBB1721	Radio 55 KOY Listen!!
BBB5605	Untitled
AAA6682	Untitled
BBB2854	Fruit juice, Wallpaper & Floor Covering (2 advertisements)
AAA3192	Call of the mild.
BBB3231	Beautiful New Label Outside, Same Wonderful Beer Inside
BBB1168	Quiet, Scenic Golden Hills Motel
AAA8169	3 basic lengths in Silk or DuPont Nylon
BBB2787	as good to your taste as it is to your thirst
AAA4987	shop the People Pleasers
AAA8098	MacArthur's Message to Labor-
AAA4901	Relief pitcher
AAA7214	Bullock's August Clearance
BBB5805	Untitled
BBB4479	Corn Palace: Dedicated to the Armed Forces...Buy War Bonds
AAA8317b	Benson & Hedges 100's, I Like Your Style.
AAA5654	Untitled
AAA4416	Zenith
BBB0423	Maurice Chevrolet says See the Monte Carlo
AAA8148	August Fur Sale
AAA2610	American favorite for seven generations
BBB6253	Deliciously yours, Hunt's Catsup
BBB0789	Our million dollar bonus. It's working.
BBB1624	PEACE. January 27th, 1973
BBB4794	''Go with the Pros''  Meet the Packers in Person in Madison
AAA7734	For Food at its Best ~~
BBB3031	Colgate
AAA2851	Ro-Neet lets your sugar beats grow free
BBB6336	Bring home some color!  salisbury Greenhouse-Sherwood Park
AAA3286	WOLFSCHMIDT 1/2 GALLON SALE $8.99
AAA1576	You mean you have seen Villa de Paz only once?
BBB0113	Taste that beats the others cold!
BBB3631	Untitled
BBB6850	PYREX The Material That's going places in industry . science. transportation. architecture. cooking.. corning glass works corning n.y.
AAA8510c	''B&H, I like your style.''
AAA5372	Gold Medal Flour
AAA4237	Carlos learns the art of the awesome tortilla.
BBB2732	For Contented Babies
AAA6798	Taste that Taste!
AAA0901	Protect her when you're driving, too!
AAA1593	Only Western offers First Class Legroom to every Coach passenger!
AAA5701	My Master Likes...Melrose Rare
BBB2951	For Those Who Still Appreciate Big Figures...
AAA3497	A family art for 175 years.
AAA9720	Seagram's Canadian V.O.
BBB1063	Support the Phoenix Open
AAA6431	Quality Supreme..For Delicious Salads!
BBB4547	Untitled
BBB5761	Untitled
AAA2208	WE'VE BEEN LISTENING TO ARIZONA SINCE FRONTIER DAYS
BBB5603	Untitled
AAA7435	We Keep Business Hours; Continental Nonstop to Houston
AAA3661	Gets to the roots of cotton and alfalfa insect problems!
AAA1707	COMPLETE RECREATIONAL VEHICLE Center
BBB0010	Sparkling ... flavorful...distinctive!
BBB4573	Experince is the best teacher...Camels
AAA7158	Building Counselors--Save Time-Save Money
AAA0039	British word for beer ... Watneys
AAA4129	Red Stands Out. In Water.
BBB3328	Hit us when you're down.  The Arizona Bank Loan Officers
AAA3108	all the flavor you want
AAA1354	America's Going Dry! Canada Dry!
AAA7146	Yours For a Wonderful Time--Aristocrat of Beer
BBB0923	Long haul drivers, watch the road.
BBB6874	Find Boxing Arenas (or Scrap Metal) fast
AAA7073	See the Man With the Measuring Stick--Ford is Biggest of All Three Where Bigness Counts!
AAA3080	New Car Tip:  Shop for the Money _First_. United Bank. 946-9919.
AAA8733a	New York, you've had it
BBB5041	You'll be proud to be a Marine  Join the Marines
BBB6570	Oldsmobile automobiles, American gas, smoking tobacco (3 advertisements)
AAA7187	Time payments--to fit individual needs at low cost
BBB4318	Fair housing an ideal for... Americans
BBB1780	#1 KRIZZZZZZZZZ
BBB2441	You can rely on us
AAA2974	Come see us 24 hours a day. most of us anyway
BBB0203	Jet smoooooooother
AAA4489	Switch to ELECTRIC COOKING. Kitchen Proved!
AAA0627	Irish Ham & Bacon U.S. Government Inspected
AAA1675	A family art for 175 years.
AAA6097	Dynamite Disco!
BBB2008	Grand Opening  Cavalier Homes
AAA1615	American Flag Kits $5.95 value $2.98 at Blakely
AAA0532	Untitled
BBB1970	Even Scrooge would've been happy in a La-Z-Boy
BBB4355	Tax Reductions Bring Gains to Everyone
BBB3437	In 1947, Lincoln Continental and television were exciting everyone. Lincoln Continental still is.
AAA6046	Untitled
BBB3934	dog tired...? REFRESH with ACME BEER
AAA8790	Fleischmann's 90 Proof
AAA8529c	Untitled
AAA3299	Kentucky Tavern Bourbon
BBB3943	Welcome to Ann Arbor home of ARGUS cameras
BBB0068	Pepsi's got a lot to give.
BBB4225	Stop Ducking the Issue! Buckle Up
AAA4600	Untitled
AAA8509	We're No Place Like Home!
AAA4934	Why Count Sheep; Call Orange Mattress For Better Sleep
BBB1590	M&M's Plain Chocolate Candies
AAA3972	Untitled
AAA9785	USHERS GREEN STRIPE SCOTCH
BBB4759	Taste what's happened to Glorious Glorious Piels
BBB3464	Untitled
AAA3870	Untitled
AAA5941	Visit your Chevy friends today!
AAA3733	It's good to know IMPERIAL is made by [unreadable]
BBB0517	Something Special. Datsun 1200.
BBB3295	L. Bamberger & Co. One of America's Great Stores.  Newark
BBB0959	Pearl Bailey Feb. 20-Mar. 10
AAA1107	So Long BROWN - FORMAN REGION VI COME AGAIN PARTNUHS!
BBB0425	Far out prices...
BBB6581	Untitled
AAA5956	Building the best for 100 years.
BBB6590	Free Tickets for speeders
BBB5328	Dial 610 K-Dial Your station of the stars
AAA1020	One success leads to another.
AAA4385	For Smoother Safer Driving
AAA9757	Hiram Walker's TEN HIGH. A True Bourbon
AAA1808	Need money? This is the place to go
AAA1326	We're going to have twins!
AAA0773	Heinz Red Magic Parade
BBB2024	Gene Hancock's famous Cavalier Homes
AAA5236	New Sunbeam Lightweight Vacuum With Full Power!
AAA9833	If thirst persists see your grocer.
AAA7700	Los Angeles, you're a growing city.  Eat your soup!
BBB0891	Need more room? Call Southern Pacific for industrial sites!
BBB1232	Now at Popular Prices
BBB5175d	Untitled
BBB5889	Popular Priced Homes  Under $500!  Parkmoor Place  All Modern conveniences
BBB3405	Answer You Christmas Letter Today Fight Tuberculosis and other Respiratory Diseases
AAA8439b	Now Open!
AAA0499	go-o-o Texan with Frank, Bob, Buddy and [erased]
AAA9495	...and to all a good nightcap
AAA6032	Country Charm
AAA5805	Rohm & Haas Company Dithane Fungicides, Rohm & Haas Company Dithane Fungicides, Allied Chemical Plyac Spreader-Sticker (3 advertisements)
BBB0907	Ship piggyback on Southern Pacific
BBB5739	Phoenix Silk Hosiery Levy's   Adams and Hogan Sts.
AAA3280	Tomorrow's Whiskey Today.
AAA9711	Seagram's 100 Pipers Scotch
AAA5643	Untitled
BBB2812	VIRGINIA SLIMS
AAA1750	Dewar's ''White Label'' the Scotch that never varies!
AAA2155	Globe Shopping City Discounts Dickie Slacks
AAA6722	Refreshing as the land of sky blue waters
AAA7372	JC Penney Car Battery, Tareyton Cigarettes, Datsun F-10 Car (3 advertisements)
AAA9457	Authentic. Dewar's ''White Label.'' the Scotch that never varies!
BBB3461	Untitled
BBB1311	Seagram's Imported
AAA6164	Tonight Enjoy Shrimp, Mahi Mahi, Snapper, Bass, Cod, Turkey, Frog Legs, Chicken, Ribs & Ham...One For All, Or All For One $5.95
BBB3994	Untitled
BBB3029	Choice; For Seasonal Skin Change; Dry Skin, Oily Skin, Normal Skin
BBB4875	the one-and-only Almond Roca from Brown & Haley.  Where good things happen.  Almond Roca - America's Finest Confection
AAA6796	Smart Women Cook With Gas in Balanced Power Homes!
BBB1264	The two most trusted words in meat...
BBB0667	Nonstop Las Vegas
BBB6208	St. Paul Federal  You earn 3% here!  St. Paul's Oldest
AAA6090	Camel Filters--Satisfaction
AAA0621	Register for Rationing
AAA0129	Palos Verdes Estates Where Your Home is Your Playground
BBB4806	Untitled
AAA4461	Switch to RELIABLE COAL. Look Ahead! for comfortable Heat
BBB4998	Untitled
BBB0394	Freedom Calls.
BBB0945	Wouldn't you rather be in Vegas?
AAA6364	Merit Scores Taste Victory!
AAA7065	Tacoma's Going Buick!
AAA2523	Wrinkle Remover. Buy 'er a dryer.
AAA4076	Mercury cars, Cussins & Fearn Co. stores (2 advertisements)
AAA0738	WIN CASH! for Gold Medal Flour's CHICAGO SWEEPSTAKES.
BBB6474	Postal Telegraph  anytime.. anyplace
AAA1844	If you save stamps... you should save at Western Savings
AAA0643	Untitled
AAA5219	Milwaukee's Favorite Premium Beer:  Draft-Brewed Blatz Now At Local Prices!
BBB2835	Now! Pepsi in one-way bottles
AAA8333c	Get More's Satisfaction
BBB1989	Arizona City
AAA0905	Protect her when you're driving, too!
AAA6207	''Just a kiss away''; 2 Live Stages!
BBB6392	Baboa Wine  The Nation's Favorite
AAA2599	ice pack
BBB3827	Untitled
AAA3221	New kind of alcoholic beverage in red and gold
AAA5223	Now at Popular Prices!
BBB0632	Seattle & Portland
AAA6478	For Health and Energy...Community Dairy: Milk-Cream-Butter
BBB6161	Goeth when the iceman cometh.
AAA4497	Switch to ELECTRIC COOKING. Kitchen Proved!
AAA5159	Untitled
AAA4582	Untitled
AAA4975	flameless Electric Cooking
BBB0702	Fly to the City of Angels
BBB2565	Drive with COURTESY... OBEY Traffic Signs.
AAA4903	learn more!  earn more!
BBB4423	Untitled
BBB1544	It's an el taco Takeover! you've got to be kidding... a MINCEMEAT BURRO?
AAA8432a	''B&H, I like your style.''
AAA1581	Untitled
AAA3543	MAKING ARIZONA HISTORY YESTERDAY, TODAY AND TOMORROW
AAA9489	Big in the West
AAA3316	WILD TURKEY BOURBON
AAA9285c	Untitled
AAA3331	3 MILES TO PAINTED DESERT OASIS
AAA4067	Season's Greetings
BBB1365	''Luxury for Less''
AAA6779	Powerful Enough to Make a Difference
AAA7484	Wrigley's chewing gum, Black Silk Stove Polish, Omar cigarettes, S.S.S. medication, Republican Party, U.S. Army, Amorosa Club adult entertainment (7 advertisements)
AAA7730	The Emblem of VALOR
AAA2611	enjoy EARLY TIMES
AAA3526	GLOBE Shopping City DISCOUNT SLACKS BY Dickies
AAA8819	Beer, Glass beer bottles (2 advertisements)
AAA1035	One success leads to another.
AAA8946	You belong with Salem
AAA7296	Wonderfilled Gifts
BBB0455	Untitled
AAA1260	Daily/Daily 4.5%
AAA0594	Glorifies pies
AAA0944	Political campaign, Charity, Musical performance (3 advertisements)
AAA1734	Finest Vodka Made
BBB5892	Make your home at Knollwood Short Hills
BBB0976	18 Hole Golf Course - Restaurant - Cocktail Lounge
AAA6574	See the New Kings River Canyon national park and sequoias thru Visalia
BBB1347	Turn your key...a start is born!
AAA9338	The Gin of England
BBB4522	Various Headlines from War Posters
BBB0059	Get that barefoot feeling.
BBB3308	Keeps your car on the go.
BBB4768	Coffee, Silver Springs (2 advertisements)
BBB6071	American Amoco Gas  Cuts Operating Costs
AAA9645	Made by good Kentucky hands
AAA2640	GLOBE SHOPPING CITY
AAA6259	Merit Topples High Tars
AAA3301	all the flavor you want
AAA8878	You belong with Salem
AAA1024	Tomato sauce, Olive oil (2 advertisements)
AAA9996	Brewed to serve ice-cold!
AAA8536	Untitled
BBB1663	There IS a fine new place to dine
BBB1251	Morton Salt
AAA6229	One Beautiful Drink.  One Calorie Tab; Sugar Free!
AAA1441	Restore Lost Power! Put A Tiger In _Your_ Tank!
AAA9684	The Sure One
BBB1439	65 Miles to Grand Canyon National Park
BBB3450	Untitled
AAA3795	Serta Mattress, Chevrolet trucks (2 advertisements)
AAA1183	VIP ...New Very Important Purpose Savings
AAA4896	Rent-A-Car At Discount Prices
BBB1155	Desert Inn & Country Club, Stardust Hotel & Golf Club
BBB3482	The New ''Yes We Say Yes'' Tipton
AAA6837	Untitled
BBB2252	Knoell Northwood.  Left on Thunderbird to 31st Ave.  from $17,750.
BBB3949	WORLD'S GREATEST COMBINATION
BBB6553	Untitled
BBB1164	Dunes Hotel Las Vegas
BBB6017	Noiseless restful=beautiful cork tile floors The Milam Building
BBB4965	Central Outdoor Markets Will
BBB2630	Heinz beans, Mars Cocunut Chocolate (2 advertisements)
AAA5389	this week; Actual $5 Value..Permanent Wave; shampoo, fingerwave, haircut, $2.45 complete.
BBB2805	VIRGINIA SLIMS
AAA6769	It's RED MAGIC TIME at Your Food Store
AAA1333	New! The perkier Instant-- More fresh-perked flavor.
AAA4363	See the NEW 1957 Models at the AUTO SHOW
AAA9488	just mention my name
AAA1174	When You Need Money... See My Bank First!
BBB0127	Quality-Quick Shopping
AAA6639	Homes For Sale
BBB2664	Cleans and Disinfects
AAA2555	COOL WAY TO GO
AAA1062	Rum's more fun when you take your 'Q' from Puerto Rico
AAA7373	Avoid the Bite With Tax-Free Income From Municipal Bonds & Funds
BBB1241	real gusto in a great light beer
AAA6581	Fresno Winter Sports in the High Sierra Playground
BBB4572	Superior Union Suits, No shirts to pull up No drawers to f
BBB4166	Cruisin' and Boozin' is Losin'
BBB1529	it's top banana time
BBB0236	You're probably following a Chevrolet
BBB5170	Untitled
AAA0496	buy your new car now from a quality dealer ... be an Early Bird
AAA8069	Loans
AAA6899	Extra War Bonds
AAA8684	New York, you've had it. So often, in fact, it's your no. 1 sauce.
AAA9608	so smooth...world's largest selling Scotch
AAA9436	America's No. 1 Selling Scotch
AAA1009a	Untitled
AAA0890	For The People? Elect Piemonte City Councillor
BBB3315	Blue Chip Stamps, Bank, 1967 Mustang Car (3 advertisements)
BBB3518	K-BEST 95FM  Biggest hits of all time.
AAA6208	Ask for Kodak paper...for a good look.  You gotta ask for it!
AAA7088	We Got Somepin' to Chirp About! Confidence Sold 685 Bargain Priced Used Cars Since January 1st, 1940
AAA6614	Roma: America's Largest Selling Wine
AAA3692	AeroW____ waiting for you
AAA9045	Now Have Your Cola And Diet Too!
AAA1302	Beauty is the childhood of faith
AAA7914	For Keener Refreshment
AAA7052	Untitled
AAA4641	Untitled
BBB2219	Hallcraft.  Deer View Homes.  Grand Opening.
BBB2889	Heinz ketchup, Bel Air cigarettes (2 advertisements)
BBB1362	Join the Cool Set at Newport Beach Calif.
AAA1451	Welcome! Union Oil Company Dealers 75th Anniversary
AAA1156	If you smoke- Don't hang around gas pumps. If you need Tax Money- See Termplan
BBB5793	Untitled
AAA0575	that Bud ... that's beer.
AAA1541	a new Electric Range
AAA2333	Our old sign [Richfield] Our new sign [Arco]
BBB6165	Not Every Advertiser Is Cut Out to Run Coupons  Naegele Outdoor.
BBB5640	Motorists-Protect Your Interests  Join Johnstown Motor Club AAA
AAA4691	Haggarty's 90-Day Charge Account
AAA1112	Southland Life agents have hearts of gold!
AAA0044	Asahi Japan's classic beer
BBB0221	year after year America's Best Seller
BBB3579x	Welcome 74th OAAA
BBB2057	Continental North
AAA1925	first name in home entertainment. RCA.
AAA9993	Great for openers A-1 Twist-Cap
AAA0364	things go better with [erased]
BBB5089	Drunk Driving Is Just Murder On Our Roads
BBB4008	Koch's Ale Beer
AAA5610	Your Furniture Man--Nothing But the Best!
BBB2029	Continental Homes  We Build Better So You Live Better
AAA3687	Untitled
AAA6791	Discover America at See Level
AAA1139	Join the Arizona Bank Christmas Club
BBB1433	167 Miles to Grand Canyon National Park
BBB0850	We jet direct to Hawaii everyday. Pick a day and join us.
BBB6241	Join The Marines  Courtesy of Walker and Co.
AAA2737	Pepsi's got a lot to give.
AAA1566	Rossmoor Leisure World Is Coming To The Valley Of The Sun
AAA9856	Pull in more Flavor
AAA1629	Happiness $5.98 a truckload at Texaco.
AAA8157	Untitled
AAA2121	DEMAND THE MOST FOR YOUR MONEY
AAA7219	Gifts for Easter
AAA0403	Now -- Trade and Travel Time!
AAA6225	Kahlua and Soda; fzzz.
BBB4378	Join the resistance
BBB0866	Los Angeles for only $25.10
AAA9500	just mention my name
AAA8469c	Come to Marlboro Country.
BBB5107	MRA Moral Re-armament
AAA3918	Admiral Refrigerator?, Soda, Beer, Wine, Gasoline, Cola, soft drink, RCA Television Sets (7 advertisements)
AAA9680	Status Symbol
BBB2335	Go Park Phoenix.  Staggs-Bilt Homes.
AAA8605	Cigarettes, Salt (2 advertisements)
AAA8016	Instalment Loans for Every Purpose
AAA8252	Nip Colds at the Start
AAA9983	Buy It Now With The New Twist Cap
AAA1905	All roads lead to this sign. The Chevron ABOVE ALL... means service!
BBB2028	Homes of Cavalier Elegance
BBB1245	See every slice before you buy!
BBB0017	real gusto In A Great Light Beer
AAA1395	Check out the best buy!
AAA7407	Most Flights to San Francisco
AAA6108	Las Vegas: $30
AAA3052	[too small to be made out]
AAA2427	Now... at First National Bank exclusively.
BBB2272	In Scottsdale Laguna San Juan  Overend Realty
AAA6917	Untitled
AAA7723	Schulze Butter-Nut Bread, Tip-Top Bread, Goldenrod Ice cream (3 advertisements)
BBB3432	Untitled
BBB5178d	Untitled
AAA9864	Pick a Pair - Buy BUD
AAA5929	Company Car?  Ask for more.
AAA6759	Swift's Premium at Thrifti-Marts
AAA7225	''Let's go to Desmond's!''
BBB4800	Just Promise Them Par-T-Pak  The Full Quart
AAA4127	Carlton is lowest
BBB0171	From the land where thirst comes tall
AAA1154	In the Heart of Sun Devil Country 33 Fine Stores
BBB2635	Chesterfield People smoke satisfied.
BBB6755	Mmm! What a tan! With exclusive tan timer.
BBB4184	Works Magic Buckle Up
BBB5904	Ojibway Canada's New ''Steel City''  Offers the Best Real Estate Investment  E. W. Vasvary and Associated Co's
BBB3032	Untitled
BBB0466	Courtesy Chevrolet
BBB5055	be an aviation cadet  U.S. Air Force
BBB0805	Our million dollar bonus. It's working.
AAA6039	10,500 RPM--$798
BBB6436	It's Good For Your Cold Too  At Bedtime Just Rub On Vicks Vaporub
AAA4074	Greetings
AAA0801	Cola, Ketchup (2 advertisements)
BBB5216	Dulany De-luscious!   Dulany Lima Beans
BBB5137	Untitled
BBB5026	I'm Glad I Work for the City
AAA3820	Sale or Lease
AAA2334	For Genuine Vodka WOLFSCHMIDT
AAA6975	Untitled
BBB1310	Gilbey's...best name in Gin and Vodka
BBB0159	The Uncola
AAA2021	(you and the bank)
AAA8840	Benson & Hedges 100s
BBB6370	Untitled
BBB4691	For Comfort and Safety America's car makers give you the best Tyrex Tire Cord
AAA3791	the whiskey without whiskey sharp taste
AAA3788	VACATION FIRE SALE
BBB4126	Admiral  Television Ranges Radios Refrigerators
BBB4741	Savings that Grow as the Child Grows Assure Education and Success to the Man.  The Bridgeport Trust Company.
AAA2924	DON'T CRY. IT'S AN ARMSTRONG VINYL FLOOR
AAA5790	Gas Hot Water, utility, Gas Heat, utility (2 advertisements)
AAA0398	more quiet cooling per dollar
BBB0763	The Arrow-Jet Super 727
AAA5981	Ski Mtn. High--10 Lifts, Night Skiing
AAA1490	To a man they say Cutty Sark.
BBB0101	it's got a lot to give
BBB0628	Mexico Guadalajara Jets From Phoenix
BBB5366	An Experience in Good Taste   Davis Bros. cafeteria   Across from the Biltmore Hotel
AAA3479	Better whiskey Better drink
BBB6207	Plymouth!  is 3 years ahead
BBB1148	16 miles straight ahead to Carefree Inn
AAA5146	Always On Tap--Flameless Electric Heating: Safe, Easy, Economical
AAA2768	Buy one ticket get one free!
AAA2269	Powerful enough to make a difference
AAA3628	Coachlight Villiage
BBB6701	Go Safeway... San Diego
BBB0415	All-new styling backed by a tradition of Quality
BBB3864	be SURE with PURE
AAA8444b	New Camel Lights 100's
AAA5918	Put your love on the line.  Just call.
AAA2210	Credit Reserve... a write it yourself loan
AAA2257	UNION BANK IS OPEN MORE HOURS PER WEEK & MORE DAYS PER WEEK
BBB6761	Come to where the flavor is.
BBB0548	You'll meet someone you like...at your Ford dealer's
AAA0725	Bread, Cola (2 advertisements)
BBB0275	Chevrolet Chevelle!
AAA0964	Enjoy Southern Hospitality Service
BBB4840	Drink Royal Crown C ola...RC makes you feel like New!
AAA6190	An English Classic.  Tanqueray.
BBB6132	Untitled
BBB0830	TWA jets non-stop New York
BBB0920	Meet the Exciters!
BBB6117	Jantzen Swim Suits - Sun Clothes  New Fabric Snesation -Water Velva
AAA8632	Green Point Grow Power
AAA4840	Glassboro Welcomes President Johnson  Premier Kosygin
AAA3834	BE BRIGHT ABOUT LIGHT
AAA3325	FREE SET OF DUPLICATE PICTURES
AAA7397	Your Travel Agent's Best Bet in Las Vegas
AAA6015	Untitled
AAA3548	FIRE INSURANCE IS 65% LOWER ON MASONRY HOMES
BBB0804	Our million dollar bonus. It's working.
AAA2537	Conoco Clean Air Service
BBB4537	Various Headlines from War Posters
AAA4766	Nolde Nylons--Guaranteed, as all our hosiery--at Haggarty's
AAA7171	At a Cost Any Family May Easily Afford
AAA4938	Turn right 500 feet ahead; follow Rt. 9; Ranch Homes from $10,900; Full basement; 4 bedroom Cape Cod
AAA7605	Una Ciudad de Vecinos (A City of Neighbors); Fair Housing 222-5411
AAA6322	Long Time No See
AAA5397	Gifts
AAA8555	Cardani French Ice Cream and Milk Sherbet
AAA2419	Beyond Duplication
AAA8783	Ringling Bros and Barnum & Bailey Circus
AAA5670	Highest Compression Power at Lowest Cost!  See Your Chevrolet Dearler
AAA0893	Back to School Lift
AAA6072	Come To Marlboro Country
BBB1201	Broadway Exit East
BBB4431	Untitled
AAA3036	Next! Kent Menthol in King Size.
AAA2935	Got bees in your trees?
BBB1448	65 Miles to Grand Canyon National Park
BBB1817	JOIN THE GOOD GUYS!
BBB5229	Perfect Results!  Count On... C and H cane sugar
AAA5896	Discover America; Premieres Sept. 16, Weekdays 3:30 PM [channel] 2
BBB2467	See Little Village, 31 Big Houses
BBB2012	Gene Hancock's famous Cavalier Homes
BBB3796	For a good time call 800-447-4700.
AAA1841	Magnavox Annual Sale. Save up to $100
AAA1525	''Sail into Summer'' with Whole House Cooling
AAA9620	so smooth...world's largest-selling Scotch
BBB0432	The Honestly Bunch...Shooting Down High Prices
AAA2136	GLOBE SHOPPING CITY discounts DAN RIVER sheets
AAA9376	100% Dry
BBB2140	Dell Trailor's Beekman Place   A Better Townhouse Address
AAA1908	All roads lead to this sign. The Chevron ABOVE ALL... means service!
AAA1800	Double Stamps for savings
AAA2907	7 1/4%
AAA4824	Untitled
BBB6134	none
AAA8864	Tastes great! Diet Pepsi
BBB6038	Pabst For Flavor
BBB6345	Gillette men's razor blades, Budweiser Beer (2 advertisements)
AAA0389	For 1964... Get up and go [erased].
BBB5478	40,000 Bargains  Lit Brothers  40th Anniversary Sale
AAA6583	The World's Finest
AAA0862	Shopping is a Family Affair
AAA3092	Free Checking Accounts
BBB2745	Try Gold Medal for Better Baking!
BBB4167	Drinking and Driving is a Grave Thought.
BBB3152	Things go better with Coke after Coke after Coke
BBB1955	Lady Arrow designs for Elke Sommer
BBB5743	Untitled
AAA8700	Untitled
BBB6324	Life MAy Be Short, But It's Wide  The New BMW 5-Series
AAA1018b	Untitled
AAA6989	Fight Cancer With a Checkup and a Check
AAA6149	Broadway-Buffums-Montgomery Ward and 120 Stores: Grossmont Center
AAA5697	Permalube, American Beer, Alcholic Beverages (2 advertisements)
AAA4486	Cola, Gasoline, Electric power (3 advertisements)
BBB3447	Untitled
AAA0588	TURN YOUR KEY ... A START IS BORN!
AAA3231	Discover our brewmaster's private recipe beer.
AAA5304	Sleep Better On a King Size Innerspring Mattress
BBB5782	Untitled
AAA9325	''If you can find a better bourbon...buy it!''
BBB0212	No. 1 buys on the number one cars
BBB4322	Fair housing an ideal for Americans
AAA1509	Real Estate/Property, Chevys (2 advertisements)
AAA8331a	Relax.
BBB6574	Swift's Slow-smoked for richer flavor, better texture!  Swift's Premium Ham
BBB3454	Untitled
AAA0350	Ballantine beer, alcholic beverages, Coca-Cola, Hotel Raleigh (3 advertisements)
AAA8687	New York, you've had it. So often, in fact, it's your no. 1 sauce.
BBB6803	Delicious Digestible Cheese Food
BBB1946	The day of the ''Job Slob'' is over
BBB1850	KOOL NEWS
BBB2277	Active Adult Rentals Phoenix Manor
AAA5468	Jones
BBB5988	Untitled
AAA2770	Here's value and convenience!
BBB2462	El Camino Hermoso, patio townhouses
BBB6491	Spend Less than at home!  World Cruise  $1033 complete!  Dollar  S.S. Lines or your agent
AAA2844	Happy Health Chiropractic Serving Mankind for 75 Years
BBB1653	Steak. Lobster. Prime Rib. Cocktails. Organ Bar. Dancing. Simple Luxury.
AAA8085	A-1 For Shortcake
BBB2245	Polynesian Paradise.  From $82 a month...
AAA8993	Richer Thicker Creamier - with extra Vitamin D
BBB3619	The OAAA/IOA Salutes One of America's Great Enterpreneurs Donald W. Reynolds On His 80th Birthday
BBB5975	Kellogg's corn flakes, Sunshine Krispy Crackers (2 advertisements)
AAA1140	Your're a winner with Four Most Services
AAA9347	SUPREME. the last word in Bourbon...
